index	inventory	page	iso-639	iso-15294	comments	url
26	1616	409	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0409
27	1616	410	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0410
28	1616	411	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0411
29	1616	412	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0412
30	1616	413	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0413
31	1616	414	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0414
32	1616	415	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0415
33	1616	416	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0416
34	1616	417	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0417
35	1616	418	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0418
36	1616	419	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0419
37	1616	420	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0420
38	1616	421	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0421
39	1616	422	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0422
40	1616	423	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0423
41	1616	424	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0424
42	1616	425	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0425
43	1616	426	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0426
44	1616	427	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0427
45	1616	428	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0428
46	1616	429	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0429
47	1616	430	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0430
48	1616	431	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0431
49	1616	432	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0432
50	1616	433	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0433
51	1616	434	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0434
52	1616	435	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0435
53	1616	436	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0436
54	1616	437	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0437
55	1616	438	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0438
56	1616	439	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0439
57	1616	440	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0440
58	1616	441	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0441
59	1616	442	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0442
60	1616	443	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0443
61	1616	444	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0444
62	1616	445	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0445
63	1616	446	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0446
64	1616	447	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0447
65	1616	448	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0448
66	1616	449	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0449
67	1616	450	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0450
68	1616	451	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0451
69	1616	452	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0452
